market,name,price,date
narahenpita,big_onion_local,96,10/19/2020
narahenpita,big_onion_local,98,8/12/2020
narahenpita,big_onion_local,98,8/13/2020
narahenpita,big_onion_local,98,11/10/2020
narahenpita,big_onion_local,98,1/26/2021
narahenpita,big_onion_local,98,1/27/2021
narahenpita,big_onion_local,98,1/29/2021
narahenpita,big_onion_local,98,2/1/2021
narahenpita,big_onion_local,98,2/2/2021
narahenpita,big_onion_local,98,2/5/2021
narahenpita,big_onion_local,103,9/16/2021
narahenpita,big_onion_local,103,9/23/2021
narahenpita,big_onion_local,120,9/2/2021
narahenpita,big_onion_local,125,2/10/2021
narahenpita,big_onion_local,125,2/11/2021
narahenpita,big_onion_local,125,2/12/2021
narahenpita,big_onion_local,125,3/1/2021
narahenpita,big_onion_local,125,3/2/2021
narahenpita,big_onion_local,125,7/29/2021
narahenpita,big_onion_local,125,8/12/2021
narahenpita,big_onion_local,125,8/19/2021
narahenpita,big_onion_local,148,5/13/2021
narahenpita,big_onion_local,148,5/20/2021
narahenpita,big_onion_local,150,5/21/2021
narahenpita,big_onion_local,150,7/8/2021
narahenpita,big_onion_local,150,7/12/2021
narahenpita,big_onion_local,155,6/22/2021
narahenpita,big_onion_local,155,6/30/2021
narahenpita,big_onion_local,155,7/1/2021
narahenpita,big_onion_local,155,7/9/2021
narahenpita,big_onion_local,155,7/14/2021
narahenpita,big_onion_local,300,11/13/2023
narahenpita,big_onion_local,300,10/21/2024
narahenpita,big_onion_local,300,10/22/2024
narahenpita,big_onion_local,300,10/23/2024
narahenpita,big_onion_local,300,10/24/2024
narahenpita,big_onion_local,300,10/25/2024
narahenpita,big_onion_local,300,10/28/2024
narahenpita,big_onion_local,320,10/18/2024
narahenpita,big_onion_local,380,11/6/2023
narahenpita,big_onion_local,380,11/7/2023
narahenpita,big_onion_local,380,11/8/2023
narahenpita,big_onion_local,380,11/9/2023
narahenpita,big_onion_local,380,11/10/2023
narahenpita,carrot,80,4/22/2021
narahenpita,carrot,88,4/20/2021
narahenpita,carrot,95,4/21/2021
narahenpita,carrot,100,11/6/2024
narahenpita,carrot,103,4/19/2021
narahenpita,carrot,115,4/9/2021
narahenpita,carrot,115,5/10/2021
narahenpita,carrot,120,10/16/2024
narahenpita,carrot,120,10/18/2024
narahenpita,carrot,120,11/19/2024
narahenpita,carrot,120,11/20/2024
narahenpita,carrot,120,11/21/2024
narahenpita,carrot,120,11/22/2024
narahenpita,carrot,125,2/18/2021
narahenpita,carrot,125,4/23/2021
narahenpita,carrot,125,5/12/2021
narahenpita,carrot,130,10/11/2024
narahenpita,carrot,130,10/15/2024
narahenpita,carrot,130,10/23/2024
narahenpita,carrot,130,10/24/2024
narahenpita,carrot,130,10/30/2024
narahenpita,carrot,130,11/4/2024
narahenpita,carrot,130,11/5/2024
narahenpita,carrot,130,11/14/2024
narahenpita,carrot,130,12/6/2024
narahenpita,carrot,135,2/3/2021
narahenpita,carrot,135,2/24/2021
narahenpita,carrot,135,3/26/2021
narahenpita,carrot,135,4/16/2021
narahenpita,carrot,135,5/11/2021
narahenpita,carrot,135,10/14/2021
narahenpita,carrot,135,3/8/2022
narahenpita,carrot,135,3/31/2022
narahenpita,carrot,140,10/29/2024
narahenpita,carrot,140,11/11/2024
narahenpita,carrot,145,3/5/2021
narahenpita,carrot,145,3/8/2021
narahenpita,carrot,145,4/12/2021
narahenpita,carrot,145,5/17/2021
narahenpita,carrot,145,7/7/2021
narahenpita,carrot,145,3/28/2022
narahenpita,carrot,145,4/8/2022
narahenpita,carrot,148,2/25/2021
narahenpita,carrot,148,4/5/2022
narahenpita,carrot,150,12/22/2020
narahenpita,carrot,150,12/23/2020
narahenpita,carrot,150,9/23/2021
narahenpita,carrot,150,11/26/2021
narahenpita,carrot,150,9/27/2024
narahenpita,carrot,150,10/1/2024
narahenpita,carrot,150,10/2/2024
narahenpita,carrot,150,10/3/2024
narahenpita,carrot,150,10/4/2024
narahenpita,carrot,150,10/8/2024
narahenpita,carrot,150,10/10/2024
narahenpita,carrot,150,10/14/2024
narahenpita,carrot,150,10/21/2024
narahenpita,carrot,150,10/22/2024
narahenpita,carrot,150,10/25/2024
narahenpita,carrot,150,10/28/2024
narahenpita,carrot,150,11/1/2024
narahenpita,carrot,150,11/8/2024
narahenpita,carrot,150,11/13/2024
narahenpita,carrot,150,11/25/2024
narahenpita,carrot,150,12/3/2024
narahenpita,carrot,150,12/4/2024
narahenpita,carrot,150,12/5/2024
narahenpita,carrot,153,3/12/2021
narahenpita,carrot,155,4/1/2021
narahenpita,carrot,155,4/5/2021
narahenpita,carrot,155,7/6/2021
narahenpita,carrot,155,10/25/2021
narahenpita,carrot,155,4/4/2022
narahenpita,carrot,155,4/7/2022
narahenpita,carrot,158,3/30/2022
narahenpita,carrot,160,12/10/2020
narahenpita,carrot,160,12/11/2020
narahenpita,carrot,160,12/16/2020
narahenpita,carrot,160,12/17/2020
narahenpita,carrot,160,12/18/2020
narahenpita,carrot,160,12/21/2020
narahenpita,carrot,160,12/24/2020
narahenpita,carrot,160,1/7/2021
narahenpita,carrot,160,2/8/2021
narahenpita,carrot,160,2/9/2021
narahenpita,carrot,160,2/11/2021
narahenpita,carrot,160,3/2/2021
narahenpita,carrot,160,7/8/2021
narahenpita,carrot,160,7/9/2021
narahenpita,carrot,160,2/2/2023
narahenpita,carrot,160,2/3/2023
narahenpita,carrot,160,3/17/2023
narahenpita,carrot,160,3/22/2023
narahenpita,carrot,160,3/23/2023
narahenpita,carrot,160,3/24/2023
narahenpita,carrot,160,3/27/2023
narahenpita,carrot,160,5/13/2024
narahenpita,carrot,160,11/12/2024
narahenpita,carrot,165,2/16/2021
narahenpita,carrot,165,2/17/2021
narahenpita,carrot,165,3/9/2021
narahenpita,carrot,165,3/10/2021
narahenpita,carrot,165,2/9/2022
narahenpita,carrot,165,3/21/2022
narahenpita,carrot,165,4/1/2022
narahenpita,carrot,165,4/6/2022
narahenpita,carrot,168,2/22/2022
narahenpita,carrot,170,11/11/2020
narahenpita,carrot,170,9/16/2021
narahenpita,carrot,170,9/30/2024
narahenpita,carrot,170,10/9/2024
narahenpita,carrot,170,11/28/2024
narahenpita,carrot,175,3/4/2021
narahenpita,carrot,175,3/25/2021
narahenpita,carrot,175,3/30/2021
narahenpita,carrot,175,7/5/2021
narahenpita,carrot,175,1/5/2022
narahenpita,carrot,175,2/2/2022
narahenpita,carrot,175,2/3/2022
narahenpita,carrot,175,2/17/2022
narahenpita,carrot,175,3/18/2022
narahenpita,carrot,175,3/23/2022
narahenpita,carrot,180,11/12/2020
narahenpita,carrot,180,1/15/2021
narahenpita,carrot,180,2/5/2021
narahenpita,carrot,180,2/10/2021
narahenpita,carrot,180,2/12/2021
narahenpita,carrot,180,1/23/2023
narahenpita,carrot,180,3/13/2023
narahenpita,carrot,180,3/14/2023
narahenpita,carrot,180,3/15/2023
narahenpita,carrot,180,3/20/2023
narahenpita,carrot,180,3/29/2023
narahenpita,carrot,180,3/31/2023
narahenpita,carrot,180,4/6/2023
narahenpita,carrot,180,4/10/2023
narahenpita,carrot,180,5/4/2023
narahenpita,carrot,180,10/7/2024
narahenpita,carrot,180,11/26/2024
narahenpita,carrot,180,11/27/2024
narahenpita,carrot,180,12/9/2024
narahenpita,carrot,180,12/11/2024
narahenpita,carrot,180,12/17/2024
narahenpita,carrot,180,12/19/2024
narahenpita,carrot,180,12/27/2024
narahenpita,carrot,185,10/28/2021
narahenpita,carrot,185,11/1/2021
narahenpita,carrot,188,2/19/2021
narahenpita,carrot,188,3/31/2021
narahenpita,carrot,188,2/28/2022
narahenpita,carrot,190,12/14/2020
narahenpita,carrot,190,3/15/2022
narahenpita,carrot,195,3/15/2021
narahenpita,carrot,195,3/22/2021
narahenpita,carrot,195,3/23/2021
narahenpita,carrot,195,3/24/2021
narahenpita,carrot,195,9/22/2021
narahenpita,carrot,195,10/21/2021
narahenpita,carrot,195,10/27/2021
narahenpita,carrot,195,10/29/2021
narahenpita,carrot,195,11/5/2021
narahenpita,carrot,195,1/4/2022
narahenpita,carrot,195,2/7/2022
narahenpita,carrot,195,2/10/2022
narahenpita,carrot,195,2/14/2022
narahenpita,carrot,195,2/24/2022
narahenpita,carrot,195,3/25/2022
narahenpita,carrot,195,3/29/2022
narahenpita,carrot,195,4/21/2022
narahenpita,carrot,198,3/29/2021
narahenpita,carrot,198,8/10/2021
narahenpita,carrot,198,2/23/2022
narahenpita,carrot,198,2/25/2022
narahenpita,carrot,200,12/7/2020
narahenpita,carrot,200,12/8/2020
narahenpita,carrot,200,12/30/2020
narahenpita,carrot,200,1/4/2021
narahenpita,carrot,200,1/6/2021
narahenpita,carrot,200,1/8/2021
narahenpita,carrot,200,1/11/2021
narahenpita,carrot,200,1/12/2021
narahenpita,carrot,200,1/13/2021
narahenpita,carrot,200,1/18/2021
narahenpita,carrot,200,2/1/2021
narahenpita,carrot,200,2/2/2021
narahenpita,carrot,200,3/1/2021
narahenpita,carrot,200,5/13/2021
narahenpita,carrot,200,7/1/2021
narahenpita,carrot,200,7/2/2021
