ds,y
2020-08-12,98.0
2020-08-13,98.0
2020-08-14,97.97014925373135
2020-08-15,97.94029850746269
2020-08-16,97.91044776119404
2020-08-17,97.88059701492537
2020-08-18,97.85074626865672
2020-08-19,97.82089552238806
2020-08-20,97.7910447761194
2020-08-21,97.76119402985074
2020-08-22,97.73134328358209
2020-08-23,97.70149253731343
2020-08-24,97.67164179104478
2020-08-25,97.64179104477611
2020-08-26,97.61194029850746
2020-08-27,97.58208955223881
2020-08-28,97.55223880597015
2020-08-29,97.5223880597015
2020-08-30,97.49253731343283
2020-08-31,97.46268656716418
2020-09-01,97.43283582089552
2020-09-02,97.40298507462687
2020-09-03,97.3731343283582
2020-09-04,97.34328358208955
2020-09-05,97.31343283582089
2020-09-06,97.28358208955224
2020-09-07,97.25373134328358
2020-09-08,97.22388059701493
2020-09-09,97.19402985074628
2020-09-10,97.16417910447761
2020-09-11,97.13432835820896
2020-09-12,97.1044776119403
2020-09-13,97.07462686567165
2020-09-14,97.04477611940298
2020-09-15,97.01492537313433
2020-09-16,96.98507462686567
2020-09-17,96.95522388059702
2020-09-18,96.92537313432835
2020-09-19,96.8955223880597
2020-09-20,96.86567164179104
2020-09-21,96.83582089552239
2020-09-22,96.80597014925372
2020-09-23,96.77611940298507
2020-09-24,96.74626865671642
2020-09-25,96.71641791044776
2020-09-26,96.68656716417911
2020-09-27,96.65671641791045
2020-09-28,96.6268656716418
2020-09-29,96.59701492537313
2020-09-30,96.56716417910448
2020-10-01,96.53731343283582
2020-10-02,96.50746268656717
2020-10-03,96.4776119402985
2020-10-04,96.44776119402985
2020-10-05,96.41791044776119
2020-10-06,96.38805970149254
2020-10-07,96.35820895522389
2020-10-08,96.32835820895522
2020-10-09,96.29850746268657
2020-10-10,96.26865671641791
2020-10-11,96.23880597014926
2020-10-12,96.2089552238806
2020-10-13,96.17910447761194
2020-10-14,96.14925373134328
2020-10-15,96.11940298507463
2020-10-16,96.08955223880596
2020-10-17,96.05970149253731
2020-10-18,96.02985074626865
2020-10-19,96.0
2020-10-20,96.0909090909091
2020-10-21,96.18181818181819
2020-10-22,96.27272727272727
2020-10-23,96.36363636363636
2020-10-24,96.45454545454545
2020-10-25,96.54545454545455
2020-10-26,96.63636363636364
2020-10-27,96.72727272727273
2020-10-28,96.81818181818181
2020-10-29,96.9090909090909
2020-10-30,97.0
2020-10-31,97.0909090909091
2020-11-01,97.18181818181819
2020-11-02,97.27272727272727
2020-11-03,97.36363636363636
2020-11-04,97.45454545454545
2020-11-05,97.54545454545455
2020-11-06,97.63636363636364
2020-11-07,97.72727272727273
2020-11-08,97.81818181818181
2020-11-09,97.9090909090909
2020-11-10,98.0
2020-11-11,98.0
2020-11-12,98.0
2020-11-13,98.0
2020-11-14,98.0
2020-11-15,98.0
2020-11-16,98.0
2020-11-17,98.0
2020-11-18,98.0
2020-11-19,98.0
2020-11-20,98.0
2020-11-21,98.0
2020-11-22,98.0
2020-11-23,98.0
2020-11-24,98.0
2020-11-25,98.0
2020-11-26,98.0
2020-11-27,98.0
2020-11-28,98.0
2020-11-29,98.0
2020-11-30,98.0
2020-12-01,98.0
2020-12-02,98.0
2020-12-03,98.0
2020-12-04,98.0
2020-12-05,98.0
2020-12-06,98.0
2020-12-07,98.0
2020-12-08,98.0
2020-12-09,98.0
2020-12-10,98.0
2020-12-11,98.0
2020-12-12,98.0
2020-12-13,98.0
2020-12-14,98.0
2020-12-15,98.0
2020-12-16,98.0
2020-12-17,98.0
2020-12-18,98.0
2020-12-19,98.0
2020-12-20,98.0
2020-12-21,98.0
2020-12-22,98.0
2020-12-23,98.0
2020-12-24,98.0
2020-12-25,98.0
2020-12-26,98.0
2020-12-27,98.0
2020-12-28,98.0
2020-12-29,98.0
2020-12-30,98.0
2020-12-31,98.0
2021-01-01,98.0
2021-01-02,98.0
2021-01-03,98.0
2021-01-04,98.0
2021-01-05,98.0
2021-01-06,98.0
2021-01-07,98.0
2021-01-08,98.0
2021-01-09,98.0
2021-01-10,98.0
2021-01-11,98.0
2021-01-12,98.0
2021-01-13,98.0
2021-01-14,98.0
2021-01-15,98.0
2021-01-16,98.0
2021-01-17,98.0
2021-01-18,98.0
2021-01-19,98.0
2021-01-20,98.0
2021-01-21,98.0
2021-01-22,98.0
2021-01-23,98.0
2021-01-24,98.0
2021-01-25,98.0
2021-01-26,98.0
2021-01-27,98.0
2021-01-28,98.0
2021-01-29,98.0
2021-01-30,98.0
2021-01-31,98.0
2021-02-01,98.0
2021-02-02,98.0
2021-02-03,98.0
2021-02-04,98.0
2021-02-05,98.0
2021-02-06,103.4
2021-02-07,108.8
2021-02-08,114.2
2021-02-09,119.6
2021-02-10,125.0
2021-02-11,125.0
2021-02-12,125.0
2021-02-13,125.0
2021-02-14,125.0
2021-02-15,125.0
2021-02-16,125.0
2021-02-17,125.0
2021-02-18,125.0
2021-02-19,125.0
2021-02-20,125.0
2021-02-21,125.0
2021-02-22,125.0
2021-02-23,125.0
2021-02-24,125.0
2021-02-25,125.0
2021-02-26,125.0
2021-02-27,125.0
2021-02-28,125.0
2021-03-01,125.0
2021-03-02,125.0
2021-03-03,125.31944444444444
2021-03-04,125.63888888888889
2021-03-05,125.95833333333333
2021-03-06,126.27777777777777
2021-03-07,126.59722222222223
2021-03-08,126.91666666666667
2021-03-09,127.23611111111111
2021-03-10,127.55555555555556
2021-03-11,127.875
2021-03-12,128.19444444444446
2021-03-13,128.51388888888889
2021-03-14,128.83333333333334
2021-03-15,129.15277777777777
2021-03-16,129.47222222222223
2021-03-17,129.79166666666666
2021-03-18,130.11111111111111
2021-03-19,130.43055555555554
2021-03-20,130.75
2021-03-21,131.06944444444446
2021-03-22,131.38888888888889
2021-03-23,131.70833333333334
2021-03-24,132.02777777777777
2021-03-25,132.34722222222223
2021-03-26,132.66666666666666
2021-03-27,132.98611111111111
2021-03-28,133.30555555555554
2021-03-29,133.625
2021-03-30,133.94444444444446
2021-03-31,134.26388888888889
2021-04-01,134.58333333333334
2021-04-02,134.90277777777777
2021-04-03,135.22222222222223
2021-04-04,135.54166666666666
2021-04-05,135.86111111111111
2021-04-06,136.18055555555554
2021-04-07,136.5
2021-04-08,136.81944444444446
2021-04-09,137.13888888888889
2021-04-10,137.45833333333334
2021-04-11,137.77777777777777
2021-04-12,138.09722222222223
2021-04-13,138.41666666666666
2021-04-14,138.73611111111111
2021-04-15,139.05555555555554
2021-04-16,139.375
2021-04-17,139.69444444444446
2021-04-18,140.01388888888889
